# Assembly name:  ASM17555v1
# Organism name:  Saccharolobus solfataricus 98/2 (crenarchaeotes)
# Infraspecific name:  strain=98/2
# Taxid:          555311
# BioSample:      SAMN00001854
# BioProject:     PRJNA33849
# Submitter:      Washington State University
# Date:           2009-07-20
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    ACUK01
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_000175555.1
# RefSeq assembly accession: GCF_000175555.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000175565.1	GCF_000175565.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ACUK01000084.1	unplaced-scaffold	na	na	ACUK01000084.1	=	NZ_ACUK01000084.1	Primary Assembly	11402	na
ACUK01000083.1	unplaced-scaffold	na	na	ACUK01000083.1	=	NZ_ACUK01000083.1	Primary Assembly	12797	na
ACUK01000082.1	unplaced-scaffold	na	na	ACUK01000082.1	=	NZ_ACUK01000082.1	Primary Assembly	259	na
ACUK01000081.1	unplaced-scaffold	na	na	ACUK01000081.1	=	NZ_ACUK01000081.1	Primary Assembly	512	na
ACUK01000080.1	unplaced-scaffold	na	na	ACUK01000080.1	=	NZ_ACUK01000080.1	Primary Assembly	176	na
ACUK01000079.1	unplaced-scaffold	na	na	ACUK01000079.1	=	NZ_ACUK01000079.1	Primary Assembly	2215	na
ACUK01000078.1	unplaced-scaffold	na	na	ACUK01000078.1	=	NZ_ACUK01000078.1	Primary Assembly	204	na
ACUK01000077.1	unplaced-scaffold	na	na	ACUK01000077.1	=	NZ_ACUK01000077.1	Primary Assembly	1710	na
ACUK01000076.1	unplaced-scaffold	na	na	ACUK01000076.1	=	NZ_ACUK01000076.1	Primary Assembly	477	na
ACUK01000075.1	unplaced-scaffold	na	na	ACUK01000075.1	=	NZ_ACUK01000075.1	Primary Assembly	13294	na
ACUK01000074.1	unplaced-scaffold	na	na	ACUK01000074.1	=	NZ_ACUK01000074.1	Primary Assembly	11906	na
ACUK01000073.1	unplaced-scaffold	na	na	ACUK01000073.1	=	NZ_ACUK01000073.1	Primary Assembly	3010	na
ACUK01000072.1	unplaced-scaffold	na	na	ACUK01000072.1	=	NZ_ACUK01000072.1	Primary Assembly	2658	na
ACUK01000071.1	unplaced-scaffold	na	na	ACUK01000071.1	=	NZ_ACUK01000071.1	Primary Assembly	197	na
ACUK01000070.1	unplaced-scaffold	na	na	ACUK01000070.1	=	NZ_ACUK01000070.1	Primary Assembly	6668	na
ACUK01000069.1	unplaced-scaffold	na	na	ACUK01000069.1	=	NZ_ACUK01000069.1	Primary Assembly	27384	na
ACUK01000068.1	unplaced-scaffold	na	na	ACUK01000068.1	=	NZ_ACUK01000068.1	Primary Assembly	4711	na
ACUK01000067.1	unplaced-scaffold	na	na	ACUK01000067.1	=	NZ_ACUK01000067.1	Primary Assembly	24184	na
ACUK01000066.1	unplaced-scaffold	na	na	ACUK01000066.1	=	NZ_ACUK01000066.1	Primary Assembly	383	na
ACUK01000065.1	unplaced-scaffold	na	na	ACUK01000065.1	=	NZ_ACUK01000065.1	Primary Assembly	1753	na
ACUK01000064.1	unplaced-scaffold	na	na	ACUK01000064.1	=	NZ_ACUK01000064.1	Primary Assembly	1163	na
ACUK01000063.1	unplaced-scaffold	na	na	ACUK01000063.1	=	NZ_ACUK01000063.1	Primary Assembly	40291	na
ACUK01000062.1	unplaced-scaffold	na	na	ACUK01000062.1	=	NZ_ACUK01000062.1	Primary Assembly	4438	na
ACUK01000061.1	unplaced-scaffold	na	na	ACUK01000061.1	=	NZ_ACUK01000061.1	Primary Assembly	14421	na
ACUK01000060.1	unplaced-scaffold	na	na	ACUK01000060.1	=	NZ_ACUK01000060.1	Primary Assembly	59817	na
ACUK01000059.1	unplaced-scaffold	na	na	ACUK01000059.1	=	NZ_ACUK01000059.1	Primary Assembly	230	na
ACUK01000058.1	unplaced-scaffold	na	na	ACUK01000058.1	=	NZ_ACUK01000058.1	Primary Assembly	9373	na
ACUK01000057.1	unplaced-scaffold	na	na	ACUK01000057.1	=	NZ_ACUK01000057.1	Primary Assembly	5151	na
ACUK01000056.1	unplaced-scaffold	na	na	ACUK01000056.1	=	NZ_ACUK01000056.1	Primary Assembly	118	na
ACUK01000055.1	unplaced-scaffold	na	na	ACUK01000055.1	=	NZ_ACUK01000055.1	Primary Assembly	24144	na
ACUK01000054.1	unplaced-scaffold	na	na	ACUK01000054.1	=	NZ_ACUK01000054.1	Primary Assembly	80692	na
ACUK01000053.1	unplaced-scaffold	na	na	ACUK01000053.1	=	NZ_ACUK01000053.1	Primary Assembly	2638	na
ACUK01000052.1	unplaced-scaffold	na	na	ACUK01000052.1	=	NZ_ACUK01000052.1	Primary Assembly	2281	na
ACUK01000051.1	unplaced-scaffold	na	na	ACUK01000051.1	=	NZ_ACUK01000051.1	Primary Assembly	1659	na
ACUK01000050.1	unplaced-scaffold	na	na	ACUK01000050.1	=	NZ_ACUK01000050.1	Primary Assembly	43469	na
ACUK01000049.1	unplaced-scaffold	na	na	ACUK01000049.1	=	NZ_ACUK01000049.1	Primary Assembly	634	na
ACUK01000048.1	unplaced-scaffold	na	na	ACUK01000048.1	=	NZ_ACUK01000048.1	Primary Assembly	9759	na
ACUK01000047.1	unplaced-scaffold	na	na	ACUK01000047.1	=	NZ_ACUK01000047.1	Primary Assembly	3551	na
ACUK01000046.1	unplaced-scaffold	na	na	ACUK01000046.1	=	NZ_ACUK01000046.1	Primary Assembly	76665	na
ACUK01000045.1	unplaced-scaffold	na	na	ACUK01000045.1	=	NZ_ACUK01000045.1	Primary Assembly	3245	na
ACUK01000044.1	unplaced-scaffold	na	na	ACUK01000044.1	=	NZ_ACUK01000044.1	Primary Assembly	4429	na
ACUK01000043.1	unplaced-scaffold	na	na	ACUK01000043.1	=	NZ_ACUK01000043.1	Primary Assembly	7722	na
ACUK01000042.1	unplaced-scaffold	na	na	ACUK01000042.1	=	NZ_ACUK01000042.1	Primary Assembly	4757	na
ACUK01000041.1	unplaced-scaffold	na	na	ACUK01000041.1	=	NZ_ACUK01000041.1	Primary Assembly	21111	na
ACUK01000040.1	unplaced-scaffold	na	na	ACUK01000040.1	=	NZ_ACUK01000040.1	Primary Assembly	1134	na
ACUK01000039.1	unplaced-scaffold	na	na	ACUK01000039.1	=	NZ_ACUK01000039.1	Primary Assembly	4160	na
ACUK01000038.1	unplaced-scaffold	na	na	ACUK01000038.1	=	NZ_ACUK01000038.1	Primary Assembly	8816	na
ACUK01000037.1	unplaced-scaffold	na	na	ACUK01000037.1	=	NZ_ACUK01000037.1	Primary Assembly	3809	na
ACUK01000036.1	unplaced-scaffold	na	na	ACUK01000036.1	=	NZ_ACUK01000036.1	Primary Assembly	15870	na
ACUK01000035.1	unplaced-scaffold	na	na	ACUK01000035.1	=	NZ_ACUK01000035.1	Primary Assembly	1489	na
ACUK01000034.1	unplaced-scaffold	na	na	ACUK01000034.1	=	NZ_ACUK01000034.1	Primary Assembly	10177	na
ACUK01000033.1	unplaced-scaffold	na	na	ACUK01000033.1	=	NZ_ACUK01000033.1	Primary Assembly	993	na
ACUK01000032.1	unplaced-scaffold	na	na	ACUK01000032.1	=	NZ_ACUK01000032.1	Primary Assembly	2930	na
ACUK01000031.1	unplaced-scaffold	na	na	ACUK01000031.1	=	NZ_ACUK01000031.1	Primary Assembly	4837	na
ACUK01000030.1	unplaced-scaffold	na	na	ACUK01000030.1	=	NZ_ACUK01000030.1	Primary Assembly	2449	na
ACUK01000029.1	unplaced-scaffold	na	na	ACUK01000029.1	=	NZ_ACUK01000029.1	Primary Assembly	3073	na
ACUK01000028.1	unplaced-scaffold	na	na	ACUK01000028.1	=	NZ_ACUK01000028.1	Primary Assembly	68673	na
ACUK01000027.1	unplaced-scaffold	na	na	ACUK01000027.1	=	NZ_ACUK01000027.1	Primary Assembly	6530	na
ACUK01000026.1	unplaced-scaffold	na	na	ACUK01000026.1	=	NZ_ACUK01000026.1	Primary Assembly	3409	na
ACUK01000025.1	unplaced-scaffold	na	na	ACUK01000025.1	=	NZ_ACUK01000025.1	Primary Assembly	79984	na
ACUK01000024.1	unplaced-scaffold	na	na	ACUK01000024.1	=	NZ_ACUK01000024.1	Primary Assembly	4522	na
ACUK01000023.1	unplaced-scaffold	na	na	ACUK01000023.1	=	NZ_ACUK01000023.1	Primary Assembly	2898	na
ACUK01000022.1	unplaced-scaffold	na	na	ACUK01000022.1	=	NZ_ACUK01000022.1	Primary Assembly	713	na
ACUK01000021.1	unplaced-scaffold	na	na	ACUK01000021.1	=	NZ_ACUK01000021.1	Primary Assembly	170	na
ACUK01000020.1	unplaced-scaffold	na	na	ACUK01000020.1	=	NZ_ACUK01000020.1	Primary Assembly	1090	na
ACUK01000019.1	unplaced-scaffold	na	na	ACUK01000019.1	=	NZ_ACUK01000019.1	Primary Assembly	106	na
ACUK01000018.1	unplaced-scaffold	na	na	ACUK01000018.1	=	NZ_ACUK01000018.1	Primary Assembly	3151	na
ACUK01000017.1	unplaced-scaffold	na	na	ACUK01000017.1	=	NZ_ACUK01000017.1	Primary Assembly	3876	na
ACUK01000016.1	unplaced-scaffold	na	na	ACUK01000016.1	=	NZ_ACUK01000016.1	Primary Assembly	269	na
ACUK01000015.1	unplaced-scaffold	na	na	ACUK01000015.1	=	NZ_ACUK01000015.1	Primary Assembly	81430	na
ACUK01000014.1	unplaced-scaffold	na	na	ACUK01000014.1	=	NZ_ACUK01000014.1	Primary Assembly	7089	na
ACUK01000013.1	unplaced-scaffold	na	na	ACUK01000013.1	=	NZ_ACUK01000013.1	Primary Assembly	15100	na
ACUK01000012.1	unplaced-scaffold	na	na	ACUK01000012.1	=	NZ_ACUK01000012.1	Primary Assembly	17291	na
ACUK01000011.1	unplaced-scaffold	na	na	ACUK01000011.1	=	NZ_ACUK01000011.1	Primary Assembly	5273	na
ACUK01000010.1	unplaced-scaffold	na	na	ACUK01000010.1	=	NZ_ACUK01000010.1	Primary Assembly	5733	na
ACUK01000009.1	unplaced-scaffold	na	na	ACUK01000009.1	=	NZ_ACUK01000009.1	Primary Assembly	19237	na
ACUK01000008.1	unplaced-scaffold	na	na	ACUK01000008.1	=	NZ_ACUK01000008.1	Primary Assembly	1258	na
ACUK01000007.1	unplaced-scaffold	na	na	ACUK01000007.1	=	NZ_ACUK01000007.1	Primary Assembly	1288	na
ACUK01000006.1	unplaced-scaffold	na	na	ACUK01000006.1	=	NZ_ACUK01000006.1	Primary Assembly	13630	na
ACUK01000005.1	unplaced-scaffold	na	na	ACUK01000005.1	=	NZ_ACUK01000005.1	Primary Assembly	1840	na
ACUK01000004.1	unplaced-scaffold	na	na	ACUK01000004.1	=	NZ_ACUK01000004.1	Primary Assembly	4130	na
ACUK01000003.1	unplaced-scaffold	na	na	ACUK01000003.1	=	NZ_ACUK01000003.1	Primary Assembly	13253	na
ACUK01000002.1	unplaced-scaffold	na	na	ACUK01000002.1	=	NZ_ACUK01000002.1	Primary Assembly	629	na
ACUK01000001.1	unplaced-scaffold	na	na	ACUK01000001.1	=	NZ_ACUK01000001.1	Primary Assembly	15698	na
