memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
recalled,3,17,"We surely didn't expect it this quickly, and certainly not from a stroke.",0.25,0.0,0.25
recalled,3,18,"I then had to take over as executor of her trust which wasn't an easy task, and I had to inform people of her death and post on Facebook for her.",0.375,0.25,0.5
retold,2,0,"When Auntie was diagnosed with cancer for the fourth time, it was rough, but we thought she'd beat it.",1.0,0.25,1.0
retold,2,2,Me and Kiddo thought it was important for her to know we were there for her.,0.25,0.0,0.25
retold,2,4,"Then, out of the blue, she had a massive stroke which reduced her to still alive, not needing life support, but also not able to really communicate.",0.875,0.125,0.875
retold,2,5,"We had no way of knowing what she did or did not process, understand, feel, etc.",0.125,0.0,0.125
retold,2,7,"It was so difficult to see her there in that state, basically slowly dying and fading away.",0.125,0.0,0.125
retold,2,10,Then I discovered: she had not fully finished setting up the trust and I had very limited resources.,0.625,0.0,0.625
retold,2,11,"Much to my surprise, I was completely unable to do everything she asked, and had to resign as executor and hand it back over to my young cousin and be there for him for support.",0.5,0.125,0.5
imagined,3,0,"The day that I found out I was pregnant, my husband and I were ecstatic.",1.0,0.125,1.0
imagined,3,2,"However, when we told our son the news he was not happy about it.",0.625,0.25,0.875
imagined,3,3,We found out I was pregnant with a girl and we thought it might make it feel more real for our son knowing he would have a little sister.,0.25,0.125,0.375
imagined,3,7,I was put on bed rest for the last couple weeks of my pregnancy.,0.375,0.25,0.625
imagined,3,8,One day my water broke and we were off to the hospital.,0.75,0.5,0.875
imagined,3,9,There were some complications with the delivery and I ended up needing an emergency c-section.,0.75,0.0,0.75
imagined,3,14,"Now that my daughter is 3 years old, her brother loves her so much.",0.375,0.25,0.5
recalled,2,1,"After nine long months of waiting to meet my daughter, I got to hold my baby girl in my arms today.",0.875,0.5,0.875
recalled,2,4,"The spinal block was awful, I thought I was going to be sick.",0.875,0.25,1.0
recalled,2,9,"It could be because I'm not home too, change is always hard for a toddler.",0.125,0.0,0.125
recalled,2,10,"I knew he wasn't going to be thrilled, but he actually bit her head.",0.75,0.125,0.75
retold,1,0,My daughter was born on December 4th.,1.0,0.75,1.0
retold,1,1,It was a planned c-section after a high risk pregnancy.,0.625,0.5,0.75
retold,1,4,"The small flutters that reminded you of the sweet baby in your belly, the wonder of seeing their kicks and movements, and the little gestures of kindness that are reserved for pregnant women were all things that I would never experience again.",0.125,0.0,0.125
retold,1,6,"With my first child, I had an emergency c-section so I didn't have time to stress about the whole surgery.",0.5,0.0,0.5
retold,1,7,This time was different.,0.125,0.0,0.125
retold,1,10,He was barely two.,0.125,0.0,0.125
retold,1,11,I didn't know if he was going to be upset.,0.125,0.0,0.125
retold,1,15,My husband brought him over to see the baby and he showed a bit of interest.,0.375,0.25,0.625
retold,1,17,That's when he leaned over to kiss the  baby on her head.,0.5,0.25,0.75
retold,1,19,"Until the baby started screaming, that is.",0.375,0.25,0.625
retold,1,21,She had two tiny red marks on her forehead from where he bit her.,0.625,0.125,0.75
retold,1,23,"He then asked us to 'take her back, please'.",0.5,0.25,0.75
imagined,2,0,About 3 months ago I was in California working on a project for a new building.,0.875,0.5,0.875
imagined,2,1,It was going to be the project that sent me into mega bucks.,0.375,0.125,0.375
imagined,2,2,I am sitting at my desk staring at a blank screen because my ideas had ran out for new buildings weeks ago and I was drawing a blank.,0.5,0.25,0.625
imagined,2,3,My cell rings and it's my mother.,0.75,0.375,1.0
imagined,2,5,She tells me my grandfather has passed away and I need to come home.,0.875,0.125,0.875
imagined,2,6,I clearly couldn't leave in the middle of this project.,0.375,0.125,0.375
imagined,2,7,It was my job or my grandfathers funeral.,0.5,0.125,0.625
imagined,2,8,"I wanted to tell that boss where to shove it, but I stayed.",0.5,0.375,0.75
imagined,2,9,It was the worst decision I have ever made.,0.5,0.25,0.5
imagined,2,10,"Yes, I kept my job, but at what cost.",0.25,0.125,0.25
imagined,2,11,My family refuses to talk to me.,0.625,0.5,0.875
imagined,2,12,My grandfather is dead.,0.375,0.25,0.5
imagined,2,13,I am here alone with my money.,0.375,0.25,0.375
imagined,2,14,I want to kill myself.,0.625,0.25,0.75
recalled,3,0,Today I am going to share something that I never wanted to think again in my life.,0.75,0.375,0.75
recalled,3,1,"However, after reading the requirement that was the first thing came in my mind.",0.375,0.25,0.5
recalled,3,2,This happened almost three months ago while I was away from home.,0.375,0.125,0.375
recalled,3,5,He used to tell me a lot of old stories about him and I used to enjoy them a lot.,0.375,0.25,0.625
recalled,3,9,"However, after few days I got a call from my mom that the grandfather just had a heart attack and he is in ICU now.",0.75,0.25,0.875
recalled,3,12,I went straight to the airport and found out the flight just left and the next flight was in about 3-4 hours.,0.625,0.25,0.875
recalled,3,14,Those three to four hours for me were like three to four years that day.,0.125,0.0,0.125
recalled,3,15,I just wanted to go to the hospital and see him.,0.25,0.125,0.375
recalled,3,18,"I asked my mom what happened, where is grandpa?",0.5,0.0,0.5
recalled,3,19,Is he okay?,0.375,0.0,0.375
recalled,3,20,"She said “he is no more, he left us”.",0.875,0.375,1.0
recalled,3,21,When I heard this I felt like I lost my best friend.,0.375,0.25,0.5
recalled,3,23,That was a big loss of my life.,0.25,0.125,0.375
recalled,3,24,I still miss him a lot in so many cases and still cry remembering his stories.,0.375,0.25,0.5
retold,1,0,The worst day of my life is when I lost one of my best friends my grandpa.,1.0,0.0,1.0
retold,1,5,The day he passed away I was out of town for some business purpose and that was the first time that I was leaving him for about two weeks or so.,0.625,0.25,0.875
retold,1,9,"In addition to that, I called him couple times while I was away but suddenly, he had a heart attack and my family took him to the Emergency.",0.625,0.25,0.875
retold,1,10,He fought with his life in ICU for couple hours before he died.,0.625,0.125,0.75
retold,1,11,"As soon as I found out about this, I went straight to the airport, but the flights were delayed for couple hours due to incremental weather.",0.75,0.25,1.0
retold,1,12,"However, I took the first flight and went straight to the hospital, but it was too late.",0.625,0.5,0.875
retold,1,14,I still regret about this and perhaps will never forgive myself and will never forget that incident.,0.5,0.375,0.5
imagined,2,5,I booked a trip to Rocky Mountain National Park.,0.75,0.5,1.0
imagined,2,6,It was a quick plane flight there but the drive to the actual park took quite a while.,0.625,0.375,0.75
imagined,2,8,Majestic was the only way to describe the land in this area.,0.375,0.0,0.375
imagined,2,10,After spending sometime there I decided to go white water rafting.,0.625,0.125,0.75
imagined,2,14,I loved riding the rapids there.,0.25,0.125,0.375
recalled,3,0,"Today, in Boulder Colorado, we made the long drive to the Rocky Mountain National Park.",0.875,0.5,1.0
recalled,3,4,"In Boulder, at the base of the Rocky Mountains, it was nearly 95 degrees, but at elevation the temperature was in the low 40s, which was quite shocking when climbing out of our SUV to take photos.",0.625,0.125,0.625
recalled,3,5,"Just before we arrived at the highest gift shop/restaurant it began to rain quite hard, then changed to sleet as we ran for cover.",0.875,0.125,0.875
recalled,3,6,It was quite different from the 95 degree heat we had left only an hour and a half earlier.,0.25,0.125,0.375
recalled,3,8,It was truly amazing eating lunch with my family and looking out at the snow on the Rocky Mountains.,0.25,0.125,0.375
recalled,3,10,"Later in the day, after the long drive down from the national park, we took our chances with white water rafting.",0.75,0.0,0.75
recalled,3,13,"While the air temperature at river level was still in the 90s, the cold water felt refreshing with every rapid.",0.375,0.125,0.375
retold,1,0,It was our first trip to Colorado since I was a very young child and the first overall with my new family.,0.875,0.375,1.0
retold,1,1,"My wife and daughter had never been to the Rocky Mountains either, so it was sure to be a treat.",0.625,0.375,0.625
retold,1,2,We stayed with my wife's cousin and were there primarily to visit my wife's aunt.,0.5,0.375,0.75
retold,1,3,She has very sick and moved from Chicago to Boulder in order to live a more comfortable life.,0.75,0.25,0.875
retold,1,5,"Unlike the typical park in a city setting, this was a huge, and I mean huge area, covering a vast majority of the Rocky Mountain range.",0.5,0.125,0.625
retold,1,6,"My wife's aunt was able to come with, using her scooter, so it was nice spending our day with her also.",0.375,0.25,0.625
retold,1,11,"After the long drive back, my wife, daughter, and I went white water rafting!",0.75,0.125,0.875
retold,1,13,"My daughter and I sat in the front of the raft, with my wife sitting behind my daughter.",0.25,0.125,0.375
retold,1,14,"No sooner had we left the shore, my wife fell in!",0.875,0.125,0.875
retold,1,15,She was 'rescued' but soured for the rest of the ride.,0.375,0.125,0.375
imagined,1,0,About one week ago I took m;y oldest child to college.,0.875,0.75,1.0
imagined,1,1,"It was a very emotional time for me, but no so much for my kid!",0.25,0.125,0.375
imagined,1,7,I have reached out to other parents for support.,0.5,0.25,0.75
imagined,1,8,I think a support system is very important.,0.375,0.0,0.375
recalled,3,10,i am so very proud of him.,0.125,0.0,0.125
recalled,3,16,i don't know if i will be able to wait to hear from him.,0.25,0.125,0.375
retold,2,0,we moved our son to college.,0.875,0.75,1.0
retold,2,8,when we finally got to his college apartment our moods changed a little due to the chaos of everyone moving in.,0.5,0.25,0.625
retold,2,11,"This, also, was a fun time.",0.125,0.0,0.125
retold,2,14,we decided the best layout for his room and his furniture.,0.25,0.125,0.375
retold,2,21,It is very hard for a mom to leave her son behind to be on his own.,0.125,0.0,0.125
imagined,1,0,I was not aware that i needed to pay taxes on Patreon income.,0.75,0.0,0.75
imagined,1,1,"It made sense after the fact, since it is income.",0.125,0.0,0.125
imagined,1,3,I should have known.,0.125,0.0,0.125
imagined,1,5,But going back over the forms and figured it out.,0.25,0.125,0.25
imagined,1,7,I four years to go back over.,0.25,0.0,0.25
imagined,1,9,Overall it wasn't that big of a deal too.,0.125,0.0,0.125
imagined,1,12,The installments made it easy in a way.,0.125,0.0,0.125
imagined,1,14,I just felt it was different in some way.,0.25,0.0,0.25
recalled,3,3,But gradually it became my primary source of income and I shifted to self-employment as a freelance writer.,0.625,0.125,0.75
recalled,3,5,I feared getting into serious trouble.,0.375,0.25,0.625
recalled,3,10,"This was considerably cheaper than my worst-case estimate, and was in itself a significant relief.",0.125,0.0,0.125
retold,2,2,"But as time wore on and the amount of the income increased, I began to worry.",0.5,0.25,0.75
retold,2,3,It was becoming the majority of my income.,0.375,0.25,0.5
retold,2,4,And eventually I quit my wage job and it became my main source of income.,0.75,0.0,0.75
retold,2,9,It turned out that I owed about 6k in back taxes for the previous four years.,0.5,0.375,0.625
retold,2,11,And my monthly income was within the personal exemption amount.,0.125,0.0,0.125
retold,2,13,So my worst fears weren't realized.,0.125,0.0,0.125
imagined,1,0,Three months ago I discovered that I'm pregnant.,0.875,0.125,1.0
imagined,1,2,There was a time in my life when I didn't think I would ever want to have kids.,0.375,0.0,0.375
imagined,1,3,"I mean, they're just so sticky and smelly and...they just seem like work.",0.375,0.25,0.375
imagined,1,4,"But the more I think about it, the more I realize that this might be a gift.",0.875,0.0,0.875
imagined,1,5,"Maybe I'm ready for my life to mean something more than...to be about something more than just me, just getting through, just going from one moment to the next.",0.25,0.125,0.25
imagined,1,6,I keep thinking about the future.,0.625,0.375,0.75
imagined,1,8,"I never really thought much about it before, never really thought about the past either for that matter.",0.25,0.125,0.25
imagined,1,9,"And now, all of a sudden, it's like time has just opened up before me.",0.5,0.0,0.5
imagined,1,12,Where are they going to end up?,0.25,0.125,0.25
imagined,1,15,"It makes me dizzy, like looking up at the stars from the top of the mountain--how they just keep going and going.",0.25,0.125,0.25
imagined,1,16,"It scares me too, makes me afraid for this little life I'm going to bring into the world.",0.375,0.25,0.5
recalled,2,0,A little over 3 months ago I discovered that I was unexpectedly pregnant.,0.875,0.0,0.875
recalled,2,2,"I am also a very independent woman, with a good career and almost done with my MBA.",0.375,0.125,0.375
recalled,2,3,So the timing is a little hectic.,0.25,0.125,0.25
recalled,2,9,Then after just 2 months I found out I was pregnant.,0.625,0.0,0.625
recalled,2,10,"At first it was a huge shock, and honestly I wasn't very happy.",0.375,0.125,0.5
recalled,2,11,"After some months to get used to it, I can honestly say I'm very excited now though.",0.625,0.125,0.625
recalled,2,12,"It's been a huge adjustment, however.",0.375,0.25,0.375
recalled,2,13,I went from living alone to having my boyfriend move in to help with my bills.,0.5,0.375,0.5
retold,3,0,I am progressing smoothly.,0.25,0.125,0.375
retold,3,1,"It is now my sixth month, and I'm heading into the 3rd trimester.",0.625,0.5,0.75
retold,3,2,The first was rough.,0.75,0.375,0.75
retold,3,5,"However, the second trimester was way better.",0.5,0.375,0.625
retold,3,7,I actually was able to take my son on a little vacation to NYC a couple of weeks ago.,0.75,0.125,0.75
retold,3,10,"Although he was hoping for a boy, and we found out we're having a girl.",0.5,0.125,0.625
retold,3,15,I have an amazing partner who is such a great help though.,0.625,0.25,0.625
retold,3,17,I couldn't be any happier with how my life is currently going.,0.375,0.25,0.5
retold,3,18,It's amazing how everything just works out as it's supposed to.,0.5,0.0,0.5
retold,3,19,"I never would've dreamt it would be possible to have it all, but here I am living beyond my wildest dreams!",0.375,0.125,0.5
imagined,2,0,A family member needed help doing a birthday party.,0.625,0.5,0.75
recalled,1,0,I recently celebrated the birthday of a family member.,0.875,0.625,0.875
recalled,1,5,We had put so many candles on the birthday cake that the flames started to merge into one.,0.375,0.125,0.5
recalled,1,6,"The birthday person had to blow out the candles quickly, otherwise the flames might have reached the cake!",0.25,0.125,0.375
retold,3,10,"We lit the candles, and soon the candles erupted into a large flame.",0.625,0.25,0.875
imagined,3,1,It was a normal day in Portland Oregon.,0.25,0.0,0.25
imagined,3,2,I was in the bathroom and some dude was shooting up in the stall.,0.875,0.0,0.875
imagined,3,3,I told the staff to watch out he may be using in the bathroom.,0.375,0.25,0.625
imagined,3,4,It turned out to be true and he overdosed.,0.875,0.25,1.0
imagined,3,7,I actually know the guy kinda which is weird well I have seen him a few times.,0.25,0.125,0.375
imagined,3,8,They were able to bring him back to life.,0.625,0.125,0.75
imagined,3,11,They totally allow people to use drugs anywhere and sometimes even help them inject in some cities.,0.375,0.125,0.375
imagined,3,13,I do not support drug use around the city and in public or really anywhere.,0.25,0.0,0.25
recalled,2,0,My story is about a family reunion in June of this year.,0.75,0.625,0.875
recalled,2,2,My grandparents came here when they were nineteen from Europe around 1911.,0.5,0.375,0.5
recalled,2,6,He remarried a girl much younger that was my babysitter and they had one girl.,0.625,0.25,0.875
recalled,2,7,"After he married her , she stopped inviting me and my sister over   and my dad would call occasionally and say come over, but when you weren't invited over for the past few years, you don't feel that invite is sincere and I didn't go.",0.875,0.25,0.875
recalled,2,10,So my cousins wanted to come in for my dad's 90th and they brought all kinds of food and pictures and we had a good time .,0.5,0.125,0.5
recalled,2,16,I think that will probably be our last family reunion .,0.25,0.0,0.25
recalled,2,18,But it is also sad that it probably won't happen again .,0.25,0.125,0.25
retold,1,0,My  cousins from my dad's side of the family and from  out of town called and said they were coming in .,0.875,0.125,0.875
retold,1,1,They said it would be a reunion .,0.625,0.125,0.625
retold,1,16,It was a fun day and sad also when my dad gave a little speech at the end and said how proud he was of all of us.,0.375,0.25,0.625
retold,1,18,It was sad because everyone has to die and we aren't here for very long.,0.125,0.0,0.125
retold,1,19,It made us aware of that I think and it was sad but also fun to see everyone.,0.125,0.0,0.125
retold,1,20,We made plans to see each other again in September and I am looking forward to that .,0.5,0.375,0.75
imagined,2,0,"The last month has been pretty wild, but I'm finally starting to settle in.",0.5,0.125,0.5
imagined,2,1,"Moving away from my hometown was a crazy change, and it's hard to believe I actually went through with it.",0.375,0.25,0.5
imagined,2,5,At least for me anyway.,0.125,0.0,0.125
imagined,2,6,"It was my snoozefest of a desk job that forced me to pack up and head across the country for a new life, but the dull familiarity of the area was a big reason too.",0.375,0.25,0.5
imagined,2,8,I probably should give myself more credit for actually pulling such a change off too.,0.125,0.0,0.125
imagined,2,14,"This new life has the potential to really let me grow in ways that I never could back home, so I'm just pumped about getting to blaze my own trail at this point in my life.",0.375,0.25,0.375
recalled,3,0,"After having a career-ending stroke 2 years ago, I had to have many operations in 2018.",0.75,0.125,0.75
recalled,3,2,"Luckily, I just lost some use of my legs and went blind in my left eye, but better than those that suffered far worse then I.",0.875,0.0,0.875
recalled,3,3,"Within this time, I became reacquainted with my very first kiss 48 years earlier.",0.875,0.125,1.0
recalled,3,4,Her name was Debbie.,0.125,0.0,0.125
recalled,3,6,She said she was very single and living with her son in Daytona Beach Florida and invited me down (I lived in a suburb of Cleveland Ohio at the time.),0.5,0.25,0.75
recalled,3,8,"So, I visited this woman I had not seen in 48 years in April of this year.",0.5,0.0,0.5
recalled,3,9,"I was shocked that she wanted to see me the entire time I was there, but dismayed I didn't get our second kiss.",0.75,0.375,0.875
recalled,3,10,I found and find her very attractive still.,0.375,0.25,0.625
recalled,3,12,"My life as I knew it, was over in Ohio.",0.375,0.25,0.5
recalled,3,14,"Thus, I took a big chance and decided to move down.",0.75,0.375,0.875
recalled,3,16,"It was furnished and the cost was affordable, thus I decided on it, and began to throw away all my furniture and everthing else from my long past.",0.5,0.375,0.625
recalled,3,17,"When I finally moved down in late July of 2019, I got here and found that I was a victim of an internet scam by the woman selling me a place to live.",0.875,0.25,0.875
recalled,3,18,There was no house.,0.625,0.125,0.625
recalled,3,19,I had to live in a Motel 6 and an Airbnb until I could borrow money from my sister to find a home.,0.75,0.375,0.875
recalled,3,20,"The move itself now cost me $2000 and I have no furniture, forks, knives, dishes, pots, pans.....well I had nothing to put into it.",0.625,0.5,0.75
recalled,3,21,"And it took me until the 3rd week of August to move in, and then I find out that a Hurricane is currently headed straight for Daytona Beach right now.",0.875,0.25,1.0
recalled,3,23,"But, I plan to now make this my home and see what happens.",0.25,0.125,0.375
retold,1,0,I was about to move from Ohio to Florida.,0.625,0.25,0.875
retold,1,1,"I felt stagnant in Ohio, while at the same time I was interested in a woman I had met nearly 40 years ago when we both shared out first kiss when we were both 13.",0.625,0.375,0.75
retold,1,2,"I had a stroke 2 years ago, and was now retired.",0.75,0.125,0.875
retold,1,4,At this same time I had been talking to my first kiss when I was quite young.,0.5,0.25,0.75
retold,1,6,I was shocked that she had been single for almost 12 years.,0.625,0.25,0.75
retold,1,8,"The weather would be perfect, the ocean was near, and the chance for romance spurned me on.",0.375,0.125,0.375
retold,1,10,"I had a furnished mobile home awaiting me, the lady I was interested lived very near where I would me, and money would be plentiful for my happiness.",0.625,0.5,0.875
retold,1,11,"But, then everything that could've gone wrong did.",0.5,0.125,0.625
retold,1,13,Practically noone showed up at any of them.,0.625,0.375,1.0
retold,1,17,And then things got worse.........,0.375,0.125,0.5
retold,1,18,"When I got down to Florida, I found out that I'd been scammed by the person that said they had a mobile home for me to rent.",1.0,0.125,1.0
retold,1,19,THERE WAS NO FURNISHED HOME!,0.75,0.25,0.75
retold,1,20,Talk about being floored!,0.25,0.0,0.25
retold,1,23,"During all this, the woman I came down to see said she didn't want a romance, and that she just wanted a friendly platonic thing.",0.875,0.375,0.875
retold,1,24,(This after  talking to her for over 2 years over the phone.,0.375,0.25,0.625
retold,1,25,"Thanks to my sister lending me the money, I have now found a mobile home that I have bought with my sister's money.",0.75,0.375,0.875
retold,1,26,"I have no furniture, and very little money to try and furnish it and to get by.",0.375,0.25,0.5
imagined,2,0,I attended a friends wedding today.,0.875,0.75,1.0
imagined,2,4,All her friends from the past were part of the ceremony and it was quite uplifting.,0.25,0.125,0.25
imagined,2,5,I was glad they shortened the ceremony a bit.,0.5,0.125,0.5
imagined,2,7,But in the end they just focused on things they both liked and what they knew the guests would like also.,0.5,0.125,0.5
imagined,2,8,So the main focus was on food and games.,0.375,0.25,0.5
imagined,2,9,Not so much the formal aspects.,0.25,0.0,0.25
imagined,2,11,It was quite entertaining the different choices they had.,0.25,0.125,0.375
imagined,2,13,It probably went along with their multicultural families and life styles.,0.25,0.0,0.25
imagined,2,14,Overall one of the best weddings I have every attended.,0.25,0.0,0.25
recalled,3,1,It was a simple affair in the backyard of a friend's house.,0.25,0.0,0.25
recalled,3,2,She was marrying her girlfriend of 5 years.,0.375,0.25,0.625
recalled,3,3,My parents were there as well as my dad's sisters.,0.25,0.125,0.375
recalled,3,4,Also in attendance were her girlfriend's family and friends.,0.25,0.0,0.25
recalled,3,10,Everything was cooked by various guests of the wedding.,0.375,0.25,0.5
recalled,3,11,The best food served was the burnt ends brought by my dad.,0.375,0.125,0.5
recalled,3,13,It really felt like it came from a professional.,0.125,0.0,0.125
retold,1,0,Two women decided to be together for the rest of their lives on this day.,1.0,0.125,1.0
retold,1,1,It took place on a breezy and cool May afternoon.,0.25,0.125,0.375
retold,1,2,It was a beautiful ceremony attended by friends and family.,0.5,0.375,0.625
retold,1,5,I was able to enjoy some of the best burnt ends I had ever had.,0.25,0.125,0.375
retold,1,7,It was was made by one of the brides who has great cooking skills.,0.25,0.125,0.375
retold,1,11,Their relationship feels like a template and a good example to follow.,0.25,0.125,0.375
retold,1,12,They get along very well and are able to communicate.,0.25,0.125,0.375
retold,1,14,Overall I'm happy that they found each other.,0.25,0.125,0.25
retold,1,15,I hope I'm able to find something like that in my future.,0.25,0.125,0.25
imagined,3,0,It went really well and you could tell the low income people were really happy here.,0.5714285714285714,0.1428571428571428,0.5714285714285714
imagined,3,1,A lot of them were just really intrigued by the whole process of growing a garden.,0.2857142857142857,0.1428571428571428,0.2857142857142857
imagined,3,2,I really have to say it intrigued me too.,0.2857142857142857,0.0,0.2857142857142857
imagined,3,5,"They are low income people, and I even hate that term now, they are just people to me now, and I am just glad we were able to help them.",0.2857142857142857,0.1428571428571428,0.4285714285714285
imagined,3,6,I think it was just something that needed to happen for me to wake up a little bit.,0.2857142857142857,0.1428571428571428,0.2857142857142857
imagined,3,7,"Now I really want to do as much as I can to help people, either similar to me or just not in a good spot, like I am for now.",0.5714285714285714,0.1428571428571428,0.7142857142857143
imagined,3,8,"This also let me know that I might not always be in good spot, and that there are people out there who could and want to help me.",0.2857142857142857,0.1428571428571428,0.4285714285714285
imagined,3,9,"Besides the important thing of helping people who needed it, the whole garden part about it was really nice as well.",0.4285714285714285,0.2857142857142857,0.5714285714285714
imagined,3,10,"Now that I know more about that, and how it can bring people together, I am really intrigued by it.",0.4285714285714285,0.0,0.4285714285714285
imagined,3,11,"Its something that is a process, but at the same time it is also peaceful.",0.2857142857142857,0.0,0.2857142857142857
imagined,3,14,This was something that I am just glad I got to experience with people who really ended up making me happy in the end as well.,0.2857142857142857,0.1428571428571428,0.2857142857142857
imagined,3,15,I look forward to helping more when I can.,0.4285714285714285,0.1428571428571428,0.4285714285714285
recalled,1,0,In May I signed up to volunteer at a garden giveaway in my town.,0.8571428571428571,0.4285714285714285,0.8571428571428571
recalled,1,6,The event was way more than I expected.,0.4285714285714285,0.0,0.4285714285714285
recalled,1,7,We had over 100 people show up.,0.4285714285714285,0.0,0.4285714285714285
recalled,1,8,"They didn't seem like they were just there for a handout, they wanted to learn how to maintain and grow the gardens we were giving them.",0.4285714285714285,0.0,0.4285714285714285
recalled,1,10,The best part about it was the kids that came.,0.2857142857142857,0.1428571428571428,0.2857142857142857
recalled,1,12,It was encouraging to see.,0.1428571428571428,0.0,0.1428571428571428
recalled,1,15,It made me wish I had been better about this with my own son instead of just buying all my produce from the store.,0.2857142857142857,0.0,0.2857142857142857
recalled,1,17,"I'm sure maybe some people just gave up and didn't really continue and see results, but I;m sure that a lot of people did benefit from the giveaway and are enjoying the fruits of their labor today.",0.1428571428571428,0.0,0.1428571428571428
recalled,1,19,The whole experience of volunteering at the giveaway left me with a good feeling and I plan to work the event in years to come.,0.2857142857142857,0.1428571428571428,0.4285714285714285
retold,2,0,This was a charity event that a charity in my town puts on every spring.,0.7142857142857143,0.5714285714285714,0.7142857142857143
retold,2,9,Maybe when they get older they'll be healthier and continue to grow their gardens and even pass the tradition down to their kids.,0.2857142857142857,0.0,0.2857142857142857
retold,2,10,At this year's garden giveaway they had a Big Seed contest.,0.5714285714285714,0.2857142857142857,0.7142857142857143
retold,2,11,The charity gives the seeds to the local schools who give them to the students.,0.5714285714285714,0.1428571428571428,0.5714285714285714
retold,2,14,My favorite part of the giveaway this year was the look on the little boy's face who won for biggest plant!,0.4285714285714285,0.2857142857142857,0.7142857142857143
retold,2,15,He was so proud.,0.2857142857142857,0.0,0.2857142857142857
retold,2,16,It's moments like that that touch me the most.,0.2857142857142857,0.0,0.2857142857142857
retold,2,17,How easy it is to make a child feel special and proud of themselves.,0.1428571428571428,0.0,0.1428571428571428
imagined,1,0,Three months ago a trail of events happened that was really awful for me and my family.,0.625,0.125,0.625
imagined,1,1,First my mom fell and was hospitalized.,1.0,0.0,1.0
imagined,1,2,The she had to go to rehab to be able to function better but instead of getting better she had to go to a nursing home.,0.875,0.5,0.875
imagined,1,4,Shortly after she died in the nursing home.,0.875,0.375,1.0
imagined,1,9,I really should know better.,0.125,0.0,0.125
imagined,1,12,I am really glad they are all able to lean on each other.,0.125,0.0,0.125
recalled,3,1,She had fallen at home and broke her wrist.,0.75,0.25,0.875
recalled,3,2,She was hospitalized.,0.625,0.25,0.75
recalled,3,7,They were unable to improve her strength or balance.,0.5,0.125,0.625
retold,2,0,I was concerned about the number of times my mother had fallen recently.,0.75,0.375,0.75
retold,2,2,She fell when she was less than a foot away from me.,0.5,0.375,0.75
retold,2,3,"It happened so quickly, that I had no chance to help her or slow her fall.",0.125,0.0,0.125
retold,2,8,I was actually quite relieved when the hospital suggested rehab.,0.5,0.375,0.75
retold,2,12,"She was never strong enough to go home, and she passed quietly in her sleep.",0.625,0.5,0.875
imagined,2,0,I went to my cousin's wedding last Sunday and had a really good time.,0.875,0.25,1.0
imagined,2,5,My cousin however wasn't so happy when the caterers brought the food and cake out.,0.5,0.125,0.625
imagined,2,6,It was a disaster.,0.625,0.0,0.625
imagined,2,7,"They totally screwed up the menu, it was like they got another wedding order mixed up with my cousins.",0.625,0.0,0.625
imagined,2,8,There wasn't one thing on the menu that she had ordered.,0.25,0.125,0.375
imagined,2,9,"The cake was the same way, it wasn't even close to what she wanted and she was obviously upset in the wedding photos.",0.5,0.125,0.5
imagined,2,12,The band was excellent and everybody said they enjoyed the music.,0.25,0.125,0.375
recalled,3,0,My cousin got married about three months ago.,0.875,0.25,0.875
recalled,3,1,"Her husband's father owns a farm up in the country, and that's where they had the wedding.",0.5,0.0,0.5
recalled,3,2,"It was a beautiful view of the fields at the ceremony, but it was way too hot for an outdoor wedding.",0.625,0.25,0.75
recalled,3,3,"The reception was inside one of the storage facilities, so that didn't help.",0.625,0.125,0.625
recalled,3,4,"They were having issues with the food too, as there wasn't enough of it and they had to order pizza.",0.875,0.0,0.875
recalled,3,6,We got a big picture with all the cousins together.,0.5,0.25,0.625
recalled,3,7,"Some of my cousins live in England, so it was great to see them and catch up.",0.25,0.125,0.375
recalled,3,14,I don't get out to the country often.,0.125,0.0,0.125
retold,1,0,This was a while ago now.,0.25,0.125,0.25
retold,1,2,The wedding took place on a farm that belonged to my cousin's father-in-law.,0.875,0.125,0.875
retold,1,3,"Since there were no trees around, it was nice and quiet and quite beautiful.",0.25,0.0,0.25
retold,1,4,"It was very hot, and the reception being held in a nearby metal barn didn't help either.",0.625,0.0,0.625
retold,1,5,"The bathrooms were in a trailer that was air conditioned, so that was nice.",0.375,0.125,0.375
retold,1,6,"I was able to see family from Chicago, England, LA, and other places I don't normally get to see.",0.375,0.25,0.5
retold,1,8,"They had an issue with food running out, so my aunt had to call a local pizza place for an emergency order.",0.5,0.375,0.875
retold,1,10,"The ceremony was nice, and my cousin looked beautiful in her dress.",0.375,0.25,0.375
retold,1,12,"In an odd turn of events, I never actually got to speak to her husband, even though we were in a picture together.",0.5,0.0,0.5
imagined,1,2,"For the first few weeks I got nothing and no activity, then about a month ago animals came.",0.75,0.25,0.875
imagined,1,4,I was out misting the peonies and the bird kept flitting in and out of the hose.,0.375,0.125,0.5
imagined,1,5,I moved the hose and the bird moved too.,0.5,0.125,0.625
recalled,3,4,As I watered the cacti by the chain link fence I noticed a humming bird.,0.625,0.25,0.875
recalled,3,6,The thing is he did not want water to drink he wanted to get wet by the mist of the garden hose.,0.375,0.25,0.625
recalled,3,8,The bird loved it he stayed stationary in the water stream for a long time.,0.375,0.25,0.625
